No,Fe,Cr,Mn,Si,Co,Mo,Ni,C,N,B,P,S,Al,Ti,Nb,Ta,Pb,Cu,Pre-irr,Irr,Temp,Stre,Dis,Swell
1,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,8.9,460,159,1.80E+14,6.2
2,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,8.9,460,127,1.80E+14,6.26
3,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,8.9,460,95,1.80E+14,5.93
4,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,7.4,473,63,1.80E+14,3.42
5,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,7.4,473,0,1.80E+14,3.21
6,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,6.4,413,400,1.80E+14,1.32
7,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.6,429,203,1.80E+14,0.78
8,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.6,429,135,1.80E+14,1.12
9,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,3.4,447,104,1.80E+14,0.12
10,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.6,428,68,1.80E+14,1.02
11,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.6,429,0,1.80E+14,1
12,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,5,475,159,1.80E+14,1.96
13,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,5,475,127,1.80E+14,2.11
14,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,5,475,95,1.80E+14,1.96
15,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,3.7,475,63,1.80E+14,1.06
16,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,3.7,475,0,1.80E+14,1.06
17,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,3.6,419,400,1.80E+14,0.17
18,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,2.4,429,203,1.80E+14,0.08
19,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,2.4,429,135,1.80E+14,0.28
20,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,1.9,447,104,1.80E+14,-0.036
21,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,2.5,428,68,1.80E+14,0.26
22,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,2.4,429,0,1.80E+14,0.24
23,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,6.6,494,0,3.00E+15,0.95
24,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,9.3,467,191,3.00E+15,2.69
25,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,9.3,467,128,3.00E+15,2.27
26,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,6.9,467,16,3.00E+15,2.33
27,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,9.3,466,0,3.00E+15,1.69
28,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,5.4,584,14.5,3.00E+15,0.2
29,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,5.2,585,0,3.00E+15,0.36
30,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.6,523,0,3.00E+15,0.13
31,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.7,475,191,3.00E+15,-0.1
32,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.7,475,128,3.00E+15,-0.046
33,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.7,475,0,3.00E+15,-0.019
34,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,3.5,419,400,3.00E+15,0.005
35,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,1.8,447,69,3.00E+15,0.016
36,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,1.9,447,0,3.00E+15,-0.046
37,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,4.6,428,236,3.00E+15,0.038
38,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,3.4,447,0,3.00E+15,-0.031
39,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,3.1,377,403,3.00E+15,-0.003
40,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,3.1,377,276,3.00E+15,-0.054
41,65.3485,16.45,1.58,0.48,0,2.48,13.5,0.05,0.006,0.0025,0.01,0.006,0.004,0.003,0.01,0,0,0.07,0,3.1,377,0,3.00E+15,-0.019
42,64.474,17.39,1.8,0.66,0,2.2,13.31,0.02,0.05,0.001,0.017,0.008,0,0,0,0,0,0.07,0,7.31,376,0,1.80E+14,-2.6
43,64.474,17.39,1.8,0.66,0,2.2,13.31,0.02,0.05,0.001,0.017,0.008,0,0,0,0,0,0.07,0,7.34,388,0,1.80E+14,-3
44,64.474,17.39,1.8,0.66,0,2.2,13.31,0.02,0.05,0.001,0.017,0.008,0,0,0,0,0,0.07,0,5.5,616,0,1.80E+14,-1.4
45,64.474,17.39,1.8,0.66,0,2.2,13.31,0.02,0.05,0.001,0.017,0.008,0,0,0,0,0,0.07,0,5.22,535,0,1.80E+14,-3.7
46,64.474,17.39,1.8,0.66,0,2.2,13.31,0.02,0.05,0.001,0.017,0.008,0,0,0,0,0,0.07,0,4.03,448,0,1.80E+14,-0.3
47,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,5.6,516,0,1.80E+14,3.37
48,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,6.56,505,0,1.80E+14,5.86
49,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,5.58,460,0,1.80E+14,2.86
50,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,5.28,537,0,1.80E+14,2.98
51,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,6.4,534,0,1.80E+14,5.98
52,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,7.32,523,0,1.80E+14,8.68
53,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,7.32,508,0,1.80E+14,7.76
54,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,7.03,495,0,1.80E+14,7.48
55,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,6.15,471,0,1.80E+14,3.95
56,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,3.1,546,0,1.80E+14,0.68
57,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,3.77,542,0,1.80E+14,1.38
58,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,3.93,536,0,1.80E+14,1.47
59,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,3.85,512,0,1.80E+14,1.41
60,63.89,17.82,1.8,0.6,0,2.25,13.24,0.05,0.051,0.001,0.017,0.011,0.1,0.01,0,0,0,0.16,0,2.38,625,0,3.00E+15,-0.07
61,63.89,17.82,1.8,0.6,0,2.25,13.24,0.05,0.051,0.001,0.017,0.011,0.1,0.01,0,0,0,0.16,0,3.29,592,0,3.00E+15,-0.03
62,63.89,17.82,1.8,0.6,0,2.25,13.24,0.05,0.051,0.001,0.017,0.011,0.1,0.01,0,0,0,0.16,0,2.36,625,0,1.80E+14,0.17
63,63.89,17.82,1.8,0.6,0,2.25,13.24,0.05,0.051,0.001,0.017,0.011,0.1,0.01,0,0,0,0.16,0,3.33,592,0,1.80E+14,0.47
64,63.89,17.82,1.8,0.6,0,2.25,13.24,0.05,0.051,0.001,0.017,0.011,0.1,0.01,0,0,0,0.16,0,3.2,526,0,1.80E+14,0.38
65,63.763,17.63,1.9,0.52,0,2.81,13.16,0.04,0,0,0.021,0.006,0,0,0,0,0,0.15,0,4.84,573,0,1.80E+14,4.69
66,63.763,17.63,1.9,0.52,0,2.81,13.16,0.04,0,0,0.021,0.006,0,0,0,0,0,0.15,0,4.53,505,0,1.80E+14,1.96
67,63.763,17.63,1.9,0.52,0,2.81,13.16,0.04,0,0,0.021,0.006,0,0,0,0,0,0.15,0,2.52,558,0,1.80E+14,0.15
68,63.763,17.63,1.9,0.52,0,2.81,13.16,0.04,0,0,0.021,0.006,0,0,0,0,0,0.15,0,3.26,494,0,1.80E+14,0.19
69,63.763,17.63,1.9,0.52,0,2.81,13.16,0.04,0,0,0.021,0.006,0,0,0,0,0,0.15,0,3.16,468,0,1.80E+14,0.34
70,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,3.1,546,0,1.80E+14,0.68
71,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,3.77,542,0,1.80E+14,1.38
72,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,3.93,536,0,1.80E+14,1.47
73,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,3.85,512,0,1.80E+14,1.41
74,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,5.6,516,0,1.80E+14,3.26
75,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,6.56,505,0,1.80E+14,5.54
76,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,5.58,460,0,1.80E+14,2.78
77,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,5.28,537,0,1.80E+14,2.89
78,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,6.4,534,0,1.80E+14,5.74
79,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,7.32,523,0,1.80E+14,7.98
80,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,7.32,508,0,1.80E+14,7.2
81,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,7.03,495,0,1.80E+14,6.96
82,65.073,17.4,1.66,0.68,0.08,2.34,12.53,0.05,0,0,0.018,0.019,0,0,0,0,0,0.15,0,6.15,471,0,1.80E+14,3.8
83,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,668,0,2.00E+15,0.1
84,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,586,0,2.00E+15,4.3
85,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,683,0,1.59E+15,0.2
86,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,590,0,1.59E+15,14.5
87,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,517,0,1.59E+15,7.8
88,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,447,0,1.59E+15,1.1
89,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,665,0,1.80E+14,2.6
90,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,575,0,1.80E+14,17.6
91,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,520,0,1.80E+14,5.4
92,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,445,0,1.80E+14,6
93,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,668,0,2.00E+15,-0.1
94,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,683,0,1.59E+15,0.2
95,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,683,0,1.00E+15,0.5
96,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,665,0,1.80E+14,2.6
97,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,7.8,670,0,2.00E+15,-0.4
98,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,8.5,685,0,1.59E+15,-0.1
99,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,8.5,685,0,1.00E+15,0
100,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,7.8,670,0,1.80E+14,0.4
101,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,586,0,2.00E+15,4.3
102,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,577,0,1.59E+15,14.5
103,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,566,0,1.00E+15,19.7
104,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,560,0,1.80E+14,17.6
105,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,7.8,590,0,2.00E+15,0.5
106,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,8.5,605,0,1.59E+15,1.7
107,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,8.5,605,0,1.00E+15,3.1
108,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,7.8,590,0,1.80E+14,4
109,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,520,0,2.00E+15,3.5
110,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,517,0,2.00E+15,7.8
111,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,519,0,1.00E+15,7.1
112,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,516,0,1.80E+14,5.4
113,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,7.8,525,0,2.00E+15,0.2
114,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,8.5,530,0,1.59E+15,0.5
115,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,8.5,530,0,1.00E+15,0.2
116,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,7.8,525,0,1.80E+14,0.8
117,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,449,0,2.00E+15,1
118,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,449,0,1.59E+15,1.1
119,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,14,447,0,1.00E+15,2.5
120,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,12.5,445,0,1.80E+14,6
121,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,7.8,450,0,2.00E+15,0
122,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,8.5,450,0,1.59E+15,-0.5
123,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,8.5,450,0,1.00E+15,-0.5
124,65.1469,16.43,1.77,0.51,0.06,2.51,13.28,0.06,0.026,0.00015,0.022,0.015,0.01,0.02,0.01,0.02,0.02,0.09,0,7.8,450,0,1.80E+14,1.4
125,67.1319,16.95,0.92,0.4,0.11,2.35,12.01,0.003,0.007,0.0011,0.009,0.008,0,0,0,0,0,0.1,2.59,7.17,510,0,1.59E+15,3.05
126,67.1319,16.95,0.92,0.4,0.11,2.35,12.01,0.003,0.007,0.0011,0.009,0.008,0,0,0,0,0,0.1,3.86,8.44,620,0,1.80E+14,6.43
127,67.1319,16.95,0.92,0.4,0.11,2.35,12.01,0.003,0.007,0.0011,0.009,0.008,0,0,0,0,0,0.1,3.86,8.44,620,0,1.59E+15,2.05
128,67.1319,16.95,0.92,0.4,0.11,2.35,12.01,0.003,0.007,0.0011,0.009,0.008,0,0,0,0,0,0.1,3.86,8.44,620,0,1.20E+15,2.97
129,67.1319,16.95,0.92,0.4,0.11,2.35,12.01,0.003,0.007,0.0011,0.009,0.008,0,0,0,0,0,0.1,2.63,7.17,400,0,1.80E+14,7.39
130,66.8349,17.06,0.96,0.38,0.11,2.32,12.08,0.127,0.007,0.0011,0.012,0.008,0,0,0,0,0,0.1,2.63,7.17,510,0,1.59E+15,2.53
131,66.8349,17.06,0.96,0.38,0.11,2.32,12.08,0.127,0.007,0.0011,0.012,0.008,0,0,0,0,0,0.1,3.77,8.44,620,0,1.80E+14,14.68
132,66.8349,17.06,0.96,0.38,0.11,2.32,12.08,0.127,0.007,0.0011,0.012,0.008,0,0,0,0,0,0.1,3.77,8.44,620,0,1.59E+15,11.49
133,66.8349,17.06,0.96,0.38,0.11,2.32,12.08,0.127,0.007,0.0011,0.012,0.008,0,0,0,0,0,0.1,3.77,8.44,620,0,1.50E+14,18.3
134,66.8349,17.06,0.96,0.38,0.11,2.32,12.08,0.127,0.007,0.0011,0.012,0.008,0,0,0,0,0,0.1,3.77,8.44,620,0,1.20E+15,8.67
135,66.9657,16.99,0.94,0.39,0.12,2.33,12.05,0.047,0.05,0.0003,0.01,0.007,0,0,0,0,0,0.1,3.77,8.44,620,0,1.50E+14,11.6
136,66.9657,16.99,0.94,0.39,0.12,2.33,12.05,0.047,0.05,0.0003,0.01,0.007,0,0,0,0,0,0.1,3.77,8.44,620,0,1.20E+15,4.22
137,66.9657,16.99,0.94,0.39,0.12,2.33,12.05,0.047,0.05,0.0003,0.01,0.007,0,0,0,0,0,0.1,2.63,7.17,510,0,1.80E+14,2.92
138,66.9657,16.99,0.94,0.39,0.12,2.33,12.05,0.047,0.05,0.0003,0.01,0.007,0,0,0,0,0,0.1,3.77,8.44,620,0,1.80E+14,13.69
139,66.9657,16.99,0.94,0.39,0.12,2.33,12.05,0.047,0.05,0.0003,0.01,0.007,0,0,0,0,0,0.1,3.77,8.44,620,0,1.59E+15,4.84
